,title,date,contents,link
3292,실무형 인재 길러 코로나 취업 한파 녹인다,2020.12.23.,대학일자리센터 주도로 취업 역량 강화 고용 한파 속에서도 한국기술교육대를 비롯한 일부 대학들은 눈에 띄는 취업·창업 성과를 거뒀다. 삼육대는 올해 코로나19로 해외취업의 문이 막힌 상황에서도 16명의...,https://www.donga.com/news/article/all/20201226/104643558/1
3293,660시간 연수로 실무형 인재 양성 코로나에도 해외취업 1위 성과,2020.12.23.,최근 취업시장을 강타한 신종 코로나바이러스 감염증(코로나19) 한파 가운데 거둔 성과라는 점에서 의미가 깊다. 삼육대 대학일자리본부는 2017년 9월 출범했다. 이전까지 분리 운영되던 취업지원센터와 창업지원단의...,https://www.donga.com/news/article/all/20201226/104643680/1
3294,연말연시 최강한파 31일 서울 최저 영하 13도,2020.12.23.,이번 ‘세밑 한파’는 새해 초까지 이어진다. 28일 기상청에 따르면 이번 한파는 29일 밤 시작된다. 기상청은 “29일 밤부터 북서쪽의 찬 공기가 들어오면서 30일 전국 기온이 전날보다 10도 이상 떨어질 것”이라고...,https://www.donga.com/news/article/all/20201229/104672875/1
3295,대학가 상권돕기 열기 코로나에도 사랑의 온도는 높아졌다,2020.12.23.,○ 코로나 한파에도 어려운 학생-이웃부터 챙겨 올 한 해 코로나19로 전국적으로 많은 대학의 교육과 연구... 코로나 한파에도 사랑의 온도는 더욱 높아졌다. 재학생들은 스스로도 경황이 없는 처지였지만 고국을 떠나온...,https://www.donga.com/news/article/all/20201229/104672854/1
3296,연말 최강 한파 온다체감온도 영하 20도 뚝 1월중순까지 지속,2020.12.29.,북극 냉기가 한반도로 유입되면서 시작된 이번 한파는 내년 1월 중순까지 지속될 것으로 보인다. 기상청은... 이번 한파는 북극 상층의 제트기류가 약해지면서 시작됐다. 제트기류에 갇혀 있던 북극 한기가 한반도에...,https://www.donga.com/news/article/all/20201229/104686050/1
3297,30일 전국이 꽁꽁 서울 체감 영하 20도,2020.12.29.,이번 한파는 내년 1월 중순까지 지속될 것으로 보인다. 기상청은 30일 전국 아침 최저기온을 영하 16도... 이번 한파는 북극 상층의 제트기류가 약해지면서 시작됐다. 제트기류에 갇혀 있던 북극 한기가 한반도에...,https://www.donga.com/news/article/all/20201230/104690791/1
3298,경제 한파에도 뜨거운 이웃사랑,2020.12.29.,삼성은 올해 연말 이웃사랑 성금으로 500억 원을 사회복지공동모금회에 기탁하고 청소년 교육 및 아동보호 사업을 수행하는 비정부단체(NGO) 9곳의 달력 30만 개를 구입하기로 했다. 삼성은 사회 취약계층을 돕기 위해...,https://www.donga.com/news/article/all/20201229/104675630/1
3299,최대 300만원 서울형 긴급복지 수혜 기준 내년 6월까지 완화,2020.12.30.,"주요 대상자는 옥탑방·고시원·쪽방촌 등 거주자, 고독사 위험가구, 저소득층 독거어르신, 한파로 인한 한랭질환자 등이다. 생계비는 가구원 수에 따라 30만 원부터 최대 100만 원까지 지원한다. 주거비 및 의료비는...",https://www.donga.com/news/article/all/20201230/104699446/2
3300,경기도 공공배달앱 배달특급 20여일만에 거래액 20억 돌파,2020.12.31.,코로나19 한파가 잠잠해질 기미는 보이지 않고 오히려 집합금지 명령이 내려오면서 ‘연말특수’는커녕 포장과 배달만으로 영업하고 있다. 이처럼 코로나19발 경기침체가 장기화되고 있는 가운데 경기도 공공배달앱...,https://www.donga.com/news/article/all/20201230/104707981/1
3301,힘들었죠 코로나한파 속에 저무는 2020년,2020.12.31.,30일 서울 용산역 잔디광장에 설치된 임시선별진료소에서 의료진이 손난로를 이용해 입김으로 얼어붙은 보호구(페이스 실드)를 녹이고 있다. 이날 서울 최저기온은 영하 12도까지 떨어졌다.,https://www.donga.com/news/article/all/20201231/104708784/1
3302,얼어붙은 기업 체감경기  새해 더 걱정,2020.12.31.,중소기업들은 내년에 더 혹독한 경기 한파가 올 것을 걱정한다. 30일 한국은행에 따르면 12월 전(全)산업 기업경기실사지수(BSI)는 75로 지난달보다 3포인트 하락했다. BSI가 100보다 낮으면 경기를 부정적으로 보는...,https://www.donga.com/news/article/all/20201230/104708290/1
3303,보금자리고양이 눈,2020.12.31.,‘딱딱딱딱’ 겨울 한파가 찾아왔지만 오색딱따구리는 추위에 아랑곳하지 않고 새 집을 마련하느라 분주합니다. 오늘을 성실히 보내는 이들을 응원합니다. ―서울 영등포구 여의도 국회에서,https://www.donga.com/news/article/all/20210101/104724301/1
3304,날씨 이야기시베리아의 얼지 않는 강,2020.12.31.,연말에 시작된 한파가 새해에도 계속되고 있다. 강추위는 이달 초순까지 이어질 것으로 전망된다. 코로나19로 스산해진 마음이 세밑 한파로 더욱 얼어붙게 되지 않을까 우려된다. 몸과 마음의 건강을 각별히 보살피며...,https://www.donga.com/news/article/all/20210102/104734275/1
3305,한강도 꽁꽁휴일 한 컷,2021.01.03.,전국적으로 한파주의보가 발령된 3일 오전 서울 강동구 한강드론공원 인근이 꽁꽁 얼어 있다.,https://www.donga.com/news/article/all/20210103/104744835/1
3306,이번 주말 북극발 한파로 전국 강추위 체감 온도 더 낮아,2021.01.04.,"이번 주말 북극 발 한파로 강추위가 찾아올 예정이다. 기상청은 4일 “북극 발 한파로 이번 주 내내 전국 영하 10도 이하로 강한 추위가 계속되겠고, 체감온도는 더 낮겠다. 특히, 7~9일 이번 추위의 최대 고비가 될 것으로...",https://www.donga.com/news/article/all/20210104/104763340/2
3307,이번 주 북극발 한파에 전국 강추위서울 영하 17도까지 뚝,2021.01.04.,"연말에 이어 또다시 북극발 한파가 내려오면서 이번 추위는 1월 중순까지 계속된다. 4일 기상청은 “이번주... 한파는 8일 절정에 이른다. 중기예보에 따르면 서울의 아침 최저기온은 7일 영하 15도, 8일 영하 17도까지...",https://www.donga.com/news/article/all/20210104/104764089/1
3308,기숙사 학생 심경도 보듬어야현장에서신지환,2021.01.04.,다만 급할수록 대화하고 합의점을 찾는 과정을 제대로 밟았다면 이렇게 서로가 낯을 붉히는 일은 없지 않았을까. 코로나19와 한파에 피멍이 들고 있는 건 젊은 청년들도 마찬가지다. 신지환 사회부 기자,https://www.donga.com/news/article/all/20210105/104767495/1
3309,8일 서울 최저 영하17도 12일까지 강추위 이어져,2021.01.04.,4일 기상청에 따르면 북쪽에서 남하하는 찬 공기의 영향으로 5일 밤부터 한파가 시작돼 8일 절정에 이를 것으로 보인다. 한파는 5일 밤 영하 50도에 이르는 북극 한기가 한반도 상공으로 들어오면서 시작된다. 6일...,https://www.donga.com/news/article/all/20210105/104767550/1
3310,최강 한파 대비하세요,2021.01.05.,롯데마트는 소비자들이 한파에 대비해 방한용품을 저렴하게 구입할 수 있도록 13일까지 최대 50% 할인 판매한다. 기상청은 8일 서울의 아침 기온이 영하 17도까지 떨어질 것으로 예보했다. 뉴시스,https://www.donga.com/news/article/all/20210104/104766593/1
3311,이번 주말 더 강력한 북극 한파 온다영하 50도 찬공기 하강,2021.01.05.,"지난해 12월 중순 나흘 동안 영향을 미친 한파보다 지속 기간도 길고 위력도 더 강하다. ●한파, 폭설 대비 나서야 기상청은 5일 브리핑을 열고 “6일부터 적어도 12일까지 평년보다 강한 추위가 이어진다”며 “특히...",https://www.donga.com/news/article/all/20210105/104781201/1
